text,label
Urgent warning: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
So went to sleeping all day lol,General
Urgent warning: WhatsApp CEO bans WhatsApp starting tonight.,Fake
Hidden truth! Local doctor will charge money for every message.,Fake
Leaked document: Local doctor finds cure for all viruses using lemon water.,Fake
Hello world this is a test post.,General
Good morning everyone!,General
Lok Sabha passes new bill on quarterly monetary policy.,True
We went to dinner at a restaurant...,General
RBI inaugurates green energy initiative.,True
Lok Sabha concludes infrastructure project.,True
Tata Motors reports election dates for assembly.,True
Anyone watched dinner at a restaurant,General
BCCI sources claim: RBI will charge money for every message.,Fake
Supreme Court inaugurates green energy initiative.,True
Breaking News: Local doctor will charge money for every message.,Fake
Good morning everyone!,General
Supreme Court inaugurates green energy initiative.,True
Urgent warning: Secret society bans WhatsApp starting tonight.,Fake
Hi guys what's up.,General
Hello world this is a test post.,General
My friends and I love a great coffee :),General
Good morning everyone!,General
So hate working on a project!,General
My friends and I am thinking about working on a project lol,General
Nifty 50 inaugurates new space mission.,True
We went to the weekend anyone?,General
I am thinking about working on a project...,General
My friends and I am thinking about the weekend...,General
BCCI sources claim: WHO puts nano GPS chip in ₹2000 notes.,Fake
My friends and I watched this weather!,General
Forward to 10 people! UNESCO bans WhatsApp starting tonight.,Fake
Supreme Court reports economic growth data.,True
PM Modi inaugurates green energy initiative.,True
My friends and I went to sleeping all day!,General
Leaked document: UNESCO declares Indian National Anthem best in the world.,Fake
Indian Army reports quarterly monetary policy.,True
RBI declares quarterly monetary policy.,True
Leaked document: Government puts nano GPS chip in ₹2000 notes.,Fake
Anyone hate sleeping all day...,General
We am thinking about this weather...,General
My friends and I am thinking about working on a project lol,General
Sensex declares election dates for assembly.,True
My friends and I bought working on a project lol,General
Supreme Court concludes quarterly monetary policy.,True
Anyone bought the gym today!,General
Nifty 50 invests in election dates for assembly.,True
Leaked document: WhatsApp CEO finds cure for all viruses using lemon water.,Fake
Anyone went to the weekend lol,General
I watched dinner at a restaurant!,General
Indian Army successfully launches green energy initiative.,True
PM Modi passes new bill on infrastructure project.,True
BCCI sources claim: Local doctor finds cure for all viruses using lemon water.,Fake
So watched working on a project anyone?,General
Good morning everyone!,General
We watched this weather...,General
We went to dinner at a restaurant!,General
Forward to 10 people! WhatsApp CEO will charge money for every message.,Fake
I miss working on a project tbh,General
Just checking if this works.,General
So love working on a project anyone?,General
DRDO successfully launches quarterly monetary policy.,True
Finance Ministry invests in economic growth data.,True
Just watched the gym today :),General
My friends and I am thinking about the gym today anyone?,General
Reliance Industries concludes foreign direct investment.,True
Hidden truth! UNESCO declares Indian National Anthem best in the world.,Fake
Finance Ministry concludes quarterly monetary policy.,True
We bought a great coffee,General
I miss working on a project lol,General
Lok Sabha reports election dates for assembly.,True
Who else went to a great coffee :),General
Supreme Court declares infrastructure project.,True
Breaking News: Government will charge money for every message.,Fake
Election Commission concludes green energy initiative.,True
Just am thinking about the weekend!,General
Breaking News: RBI puts nano GPS chip in ₹2000 notes.,Fake
Anyone had a new movie lol,General
I went to sleeping all day :),General
DRDO invests in new space mission.,True
Lok Sabha declares quarterly monetary policy.,True
We miss sleeping all day lol,General
BCCI sources claim: Government finds cure for all viruses using lemon water.,Fake
Indian Army declares quarterly monetary policy.,True
Forward to 10 people! RBI declares lockdown from tomorrow.,Fake
PM Modi reports infrastructure project.,True
DRDO reports economic growth data.,True
Breaking News: Secret society puts nano GPS chip in ₹2000 notes.,Fake
Hidden truth! WHO bans WhatsApp starting tonight.,Fake
Hidden truth! Secret society will charge money for every message.,Fake
Supreme Court passes new bill on green energy initiative.,True
Just checking if this works.,General
Anyone hate a new movie!,General
Indian Army declares economic growth data.,True
Just checking if this works.,General
PM Modi reports election dates for assembly.,True
PM Modi successfully launches election dates for assembly.,True
Who else watched dinner at a restaurant lol,General
I watched working on a project :),General
Breaking News: Local doctor declares lockdown from tomorrow.,Fake
Hi guys what's up.,General
PM Modi inaugurates foreign direct investment.,True
We bought working on a project lol,General
Forward to 10 people! WhatsApp CEO declares lockdown from tomorrow.,Fake
Lok Sabha concludes economic growth data.,True
So hate dinner at a restaurant anyone?,General
Hidden truth! Secret society will charge money for every message.,Fake
DRDO reports election dates for assembly.,True
Testing the app.,General
Election Commission passes new bill on foreign direct investment.,True
Just love this weather :),General
Tata Motors reports election dates for assembly.,True
Hidden truth! Secret society puts nano GPS chip in ₹2000 notes.,Fake
Reliance Industries concludes new space mission.,True
Leaked document: Government will charge money for every message.,Fake
So bought a great coffee lol,General
Urgent warning: UNESCO finds cure for all viruses using lemon water.,Fake
We watched sleeping all day lol,General
We went to working on a project...,General
Lok Sabha announces election dates for assembly.,True
Finance Ministry passes new bill on new space mission.,True
My friends and I had working on a project,General
Anyone am thinking about the weekend lol,General
Election Commission inaugurates green energy initiative.,True
PM Modi declares new space mission.,True
We watched this weather tbh,General
Breaking News: WHO declares Indian National Anthem best in the world.,Fake
My friends and I hate working on a project...,General
I am thinking about a new movie lol,General
Nifty 50 concludes quarterly monetary policy.,True
My friends and I love the weekend!,General
Forward to 10 people! Government will charge money for every message.,Fake
Anyone watched this weather :),General
Who else had the gym today :),General
My friends and I watched a new movie lol,General
Just went to this weather lol,General
Anyone watched sleeping all day :),General
ISRO inaugurates election dates for assembly.,True
Just checking if this works.,General
We love the gym today,General
My friends and I miss sleeping all day tbh,General
Forward to 10 people! Government bans WhatsApp starting tonight.,Fake
Anyone watched sleeping all day :),General
Anyone had dinner at a restaurant...,General
Hidden truth! Local doctor declares Indian National Anthem best in the world.,Fake
Hello world this is a test post.,General
Hi guys what's up.,General
Who else had a new movie,General
So bought sleeping all day,General
Good morning everyone!,General
Anyone hate the gym today :),General
So hate a new movie!,General
My friends and I bought working on a project tbh,General
Hi guys what's up.,General
We miss this weather :),General
Urgent warning: UNESCO declares lockdown from tomorrow.,Fake
I bought working on a project lol,General
So hate the gym today anyone?,General
Reliance Industries passes new bill on economic growth data.,True
Anyone had working on a project...,General
PM Modi declares green energy initiative.,True
Hidden truth! Government puts nano GPS chip in ₹2000 notes.,Fake
PM Modi passes new bill on quarterly monetary policy.,True
Urgent warning: Secret society puts nano GPS chip in ₹2000 notes.,Fake
Leaked document: Local doctor declares lockdown from tomorrow.,Fake
Just checking if this works.,General
RBI announces green energy initiative.,True
Nifty 50 successfully launches new space mission.,True
Hidden truth! Secret society will charge money for every message.,Fake
Just miss dinner at a restaurant tbh,General
BCCI sources claim: UNESCO declares Indian National Anthem best in the world.,Fake
Breaking News: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Hello world this is a test post.,General
Tata Motors concludes new space mission.,True
Testing the app.,General
Anyone bought dinner at a restaurant lol,General
Hidden truth! WHO bans WhatsApp starting tonight.,Fake
We am thinking about a great coffee...,General
PM Modi concludes quarterly monetary policy.,True
Good morning everyone!,General
Who else love a new movie lol,General
Supreme Court invests in foreign direct investment.,True
My friends and I went to working on a project tbh,General
Reliance Industries invests in economic growth data.,True
Urgent warning: UNESCO declares lockdown from tomorrow.,Fake
Just checking if this works.,General
So had the gym today lol,General
Hidden truth! Government declares lockdown from tomorrow.,Fake
DRDO announces foreign direct investment.,True
BCCI sources claim: RBI will charge money for every message.,Fake
PM Modi inaugurates new space mission.,True
I bought the gym today :),General
Tata Motors inaugurates economic growth data.,True
Breaking News: WhatsApp CEO puts nano GPS chip in ₹2000 notes.,Fake
Election Commission reports quarterly monetary policy.,True
My friends and I miss the weekend tbh,General
Election Commission reports new space mission.,True
Leaked document: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Nifty 50 declares new space mission.,True
Sensex successfully launches infrastructure project.,True
Just am thinking about working on a project tbh,General
ISRO inaugurates green energy initiative.,True
Good morning everyone!,General
Leaked document: Government bans WhatsApp starting tonight.,Fake
Reliance Industries inaugurates foreign direct investment.,True
I had working on a project :),General
Just bought sleeping all day...,General
We hate working on a project anyone?,General
PM Modi passes new bill on election dates for assembly.,True
BCCI sources claim: WHO bans WhatsApp starting tonight.,Fake
Just checking if this works.,General
BCCI sources claim: UNESCO declares lockdown from tomorrow.,Fake
Just watched sleeping all day...,General
Lok Sabha announces green energy initiative.,True
Election Commission concludes green energy initiative.,True
Sensex inaugurates new space mission.,True
PM Modi invests in new space mission.,True
Indian Army inaugurates foreign direct investment.,True
Who else went to this weather!,General
Urgent warning: WhatsApp CEO finds cure for all viruses using lemon water.,Fake
Finance Ministry announces green energy initiative.,True
Anyone love dinner at a restaurant :),General
Election Commission announces election dates for assembly.,True
So love sleeping all day,General
Breaking News: UNESCO declares Indian National Anthem best in the world.,Fake
Hidden truth! UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Forward to 10 people! Secret society puts nano GPS chip in ₹2000 notes.,Fake
Lok Sabha inaugurates new space mission.,True
Reliance Industries reports election dates for assembly.,True
Who else love a great coffee,General
Hello world this is a test post.,General
My friends and I watched the weekend!,General
Testing the app.,General
Sensex announces infrastructure project.,True
Hidden truth! Government bans WhatsApp starting tonight.,Fake
Nifty 50 passes new bill on election dates for assembly.,True
Finance Ministry concludes election dates for assembly.,True
Hidden truth! Government declares Indian National Anthem best in the world.,Fake
DRDO successfully launches green energy initiative.,True
BCCI sources claim: Secret society will charge money for every message.,Fake
Reliance Industries declares new space mission.,True
Lok Sabha inaugurates quarterly monetary policy.,True
RBI passes new bill on new space mission.,True
Indian Army invests in infrastructure project.,True
Hidden truth! WHO finds cure for all viruses using lemon water.,Fake
Lok Sabha announces quarterly monetary policy.,True
Breaking News: RBI declares Indian National Anthem best in the world.,Fake
Forward to 10 people! WHO declares Indian National Anthem best in the world.,Fake
Who else miss the weekend...,General
So hate the weekend :),General
Who else watched working on a project anyone?,General
Supreme Court announces new space mission.,True
Forward to 10 people! UNESCO declares lockdown from tomorrow.,Fake
Hello world this is a test post.,General
Forward to 10 people! Local doctor bans WhatsApp starting tonight.,Fake
Indian Army declares infrastructure project.,True
Tata Motors declares new space mission.,True
I went to dinner at a restaurant,General
Who else love working on a project!,General
Reliance Industries invests in new space mission.,True
Election Commission passes new bill on infrastructure project.,True
BCCI sources claim: WHO bans WhatsApp starting tonight.,Fake
Urgent warning: Local doctor declares Indian National Anthem best in the world.,Fake
My friends and I miss the weekend lol,General
Tata Motors reports green energy initiative.,True
Urgent warning: WHO declares Indian National Anthem best in the world.,Fake
Leaked document: Secret society will charge money for every message.,Fake
My friends and I love a great coffee...,General
BCCI sources claim: WHO bans WhatsApp starting tonight.,Fake
Supreme Court concludes green energy initiative.,True
Who else bought the weekend lol,General
Tata Motors successfully launches economic growth data.,True
Just miss sleeping all day tbh,General
Who else had the weekend...,General
Nifty 50 passes new bill on election dates for assembly.,True
So bought sleeping all day,General
Tata Motors inaugurates new space mission.,True
Who else went to working on a project,General
Finance Ministry passes new bill on election dates for assembly.,True
Anyone love a new movie,General
I had sleeping all day lol,General
I went to working on a project anyone?,General
PM Modi passes new bill on infrastructure project.,True
Urgent warning: UNESCO finds cure for all viruses using lemon water.,Fake
Just checking if this works.,General
So miss this weather...,General
Hello world this is a test post.,General
ISRO announces foreign direct investment.,True
So bought sleeping all day lol,General
Supreme Court invests in foreign direct investment.,True
So watched dinner at a restaurant :),General
Anyone love this weather,General
Hidden truth! WhatsApp CEO will charge money for every message.,Fake
We am thinking about dinner at a restaurant,General
Indian Army declares election dates for assembly.,True
BCCI sources claim: WHO will charge money for every message.,Fake
Testing the app.,General
My friends and I went to this weather...,General
Who else went to sleeping all day,General
Leaked document: UNESCO will charge money for every message.,Fake
Anyone watched this weather lol,General
Election Commission passes new bill on infrastructure project.,True
Just checking if this works.,General
Just checking if this works.,General
DRDO passes new bill on election dates for assembly.,True
Who else went to the gym today anyone?,General
Forward to 10 people! Local doctor puts nano GPS chip in ₹2000 notes.,Fake
Hidden truth! Local doctor declares Indian National Anthem best in the world.,Fake
RBI concludes new space mission.,True
I am thinking about sleeping all day anyone?,General
Breaking News: WhatsApp CEO bans WhatsApp starting tonight.,Fake
We hate the gym today tbh,General
Hi guys what's up.,General
I had this weather :),General
We had dinner at a restaurant tbh,General
Hidden truth! Secret society declares Indian National Anthem best in the world.,Fake
My friends and I am thinking about the weekend :),General
Reliance Industries reports new space mission.,True
Urgent warning: Local doctor finds cure for all viruses using lemon water.,Fake
Leaked document: Local doctor declares Indian National Anthem best in the world.,Fake
My friends and I miss the gym today tbh,General
We had the gym today :),General
Anyone went to dinner at a restaurant anyone?,General
Just checking if this works.,General
We miss this weather,General
Just checking if this works.,General
Lok Sabha inaugurates economic growth data.,True
Hi guys what's up.,General
We love sleeping all day lol,General
RBI successfully launches quarterly monetary policy.,True
Just had working on a project tbh,General
Just miss dinner at a restaurant anyone?,General
Finance Ministry announces quarterly monetary policy.,True
Anyone watched the gym today,General
We miss this weather!,General
Hidden truth! WHO declares lockdown from tomorrow.,Fake
So bought the gym today lol,General
Leaked document: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
We went to a new movie,General
Leaked document: WHO will charge money for every message.,Fake
ISRO inaugurates election dates for assembly.,True
PM Modi successfully launches infrastructure project.,True
Anyone hate the weekend!,General
We am thinking about this weather :),General
Forward to 10 people! Secret society will charge money for every message.,Fake
Just checking if this works.,General
Hidden truth! Government declares lockdown from tomorrow.,Fake
Sensex declares foreign direct investment.,True
Finance Ministry inaugurates election dates for assembly.,True
Anyone am thinking about working on a project!,General
Indian Army concludes election dates for assembly.,True
Hi guys what's up.,General
Anyone watched sleeping all day :),General
Tata Motors declares green energy initiative.,True
I bought dinner at a restaurant,General
Supreme Court declares foreign direct investment.,True
Good morning everyone!,General
Anyone bought working on a project tbh,General
My friends and I hate working on a project,General
Hi guys what's up.,General
Leaked document: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Sensex invests in green energy initiative.,True
Breaking News: WHO puts nano GPS chip in ₹2000 notes.,Fake
Just had sleeping all day anyone?,General
BCCI sources claim: Secret society finds cure for all viruses using lemon water.,Fake
Just love the gym today :),General
Breaking News: Government declares lockdown from tomorrow.,Fake
Indian Army successfully launches quarterly monetary policy.,True
Indian Army invests in quarterly monetary policy.,True
BCCI sources claim: Government declares lockdown from tomorrow.,Fake
Finance Ministry announces election dates for assembly.,True
Forward to 10 people! UNESCO declares Indian National Anthem best in the world.,Fake
Anyone had the weekend lol,General
My friends and I had sleeping all day tbh,General
Forward to 10 people! Government finds cure for all viruses using lemon water.,Fake
PM Modi invests in green energy initiative.,True
Anyone am thinking about the weekend :),General
I love a great coffee!,General
Testing the app.,General
Leaked document: Secret society declares lockdown from tomorrow.,Fake
Hi guys what's up.,General
We had sleeping all day!,General
Forward to 10 people! Government declares lockdown from tomorrow.,Fake
PM Modi declares economic growth data.,True
BCCI sources claim: Secret society bans WhatsApp starting tonight.,Fake
BCCI sources claim: UNESCO declares Indian National Anthem best in the world.,Fake
Tata Motors passes new bill on infrastructure project.,True
Leaked document: Government will charge money for every message.,Fake
Supreme Court successfully launches election dates for assembly.,True
I went to working on a project lol,General
Hi guys what's up.,General
Anyone watched sleeping all day tbh,General
I miss dinner at a restaurant!,General
Just hate the gym today :),General
DRDO successfully launches infrastructure project.,True
We love this weather :),General
Urgent warning: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Just had this weather lol,General
Leaked document: Local doctor bans WhatsApp starting tonight.,Fake
Hidden truth! WHO declares Indian National Anthem best in the world.,Fake
Breaking News: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Hidden truth! Government finds cure for all viruses using lemon water.,Fake
Testing the app.,General
Election Commission concludes new space mission.,True
Who else love the gym today lol,General
Anyone had working on a project anyone?,General
Just had this weather :),General
Anyone miss sleeping all day :),General
We hate a new movie tbh,General
Breaking News: Government declares Indian National Anthem best in the world.,Fake
Just miss the weekend...,General
We am thinking about this weather!,General
I am thinking about dinner at a restaurant,General
Testing the app.,General
ISRO declares quarterly monetary policy.,True
We miss a great coffee,General
Election Commission declares quarterly monetary policy.,True
Tata Motors announces foreign direct investment.,True
Supreme Court declares green energy initiative.,True
ISRO inaugurates green energy initiative.,True
Hi guys what's up.,General
Reliance Industries declares green energy initiative.,True
Forward to 10 people! RBI declares Indian National Anthem best in the world.,Fake
I went to a great coffee tbh,General
DRDO reports new space mission.,True
I love the weekend,General
Tata Motors concludes new space mission.,True
I watched a new movie,General
DRDO passes new bill on economic growth data.,True
Forward to 10 people! RBI declares lockdown from tomorrow.,Fake
Tata Motors concludes new space mission.,True
Anyone am thinking about this weather,General
ISRO declares foreign direct investment.,True
Indian Army inaugurates infrastructure project.,True
We love working on a project tbh,General
My friends and I went to the gym today...,General
Leaked document: WhatsApp CEO will charge money for every message.,Fake
Supreme Court invests in green energy initiative.,True
We went to a great coffee!,General
I went to a new movie...,General
ISRO concludes new space mission.,True
We had this weather!,General
Who else hate dinner at a restaurant anyone?,General
Leaked document: Government puts nano GPS chip in ₹2000 notes.,Fake
Urgent warning: WHO declares Indian National Anthem best in the world.,Fake
Tata Motors passes new bill on infrastructure project.,True
ISRO declares election dates for assembly.,True
Breaking News: Government puts nano GPS chip in ₹2000 notes.,Fake
Tata Motors invests in quarterly monetary policy.,True
Just checking if this works.,General
Sensex announces election dates for assembly.,True
Nifty 50 reports election dates for assembly.,True
Hidden truth! RBI puts nano GPS chip in ₹2000 notes.,Fake
I watched a new movie...,General
Forward to 10 people! WHO will charge money for every message.,Fake
We went to the weekend!,General
Supreme Court invests in election dates for assembly.,True
Hidden truth! Secret society declares lockdown from tomorrow.,Fake
Who else had the gym today anyone?,General
I watched a great coffee,General
Reliance Industries invests in quarterly monetary policy.,True
We bought the weekend :),General
Reliance Industries inaugurates election dates for assembly.,True
My friends and I watched a new movie,General
Who else am thinking about sleeping all day!,General
My friends and I hate working on a project anyone?,General
Urgent warning: Government will charge money for every message.,Fake
My friends and I hate sleeping all day,General
Breaking News: Secret society bans WhatsApp starting tonight.,Fake
We watched the gym today!,General
Urgent warning: Secret society bans WhatsApp starting tonight.,Fake
My friends and I bought a new movie :),General
Who else had working on a project lol,General
Testing the app.,General
Hidden truth! WhatsApp CEO puts nano GPS chip in ₹2000 notes.,Fake
Who else miss the gym today lol,General
Hidden truth! UNESCO puts nano GPS chip in ₹2000 notes.,Fake
BCCI sources claim: Local doctor declares Indian National Anthem best in the world.,Fake
Forward to 10 people! RBI will charge money for every message.,Fake
Who else watched the gym today!,General
Urgent warning: Government declares lockdown from tomorrow.,Fake
Just hate the weekend!,General
Reliance Industries declares quarterly monetary policy.,True
Testing the app.,General
Just checking if this works.,General
Good morning everyone!,General
Nifty 50 successfully launches new space mission.,True
I am thinking about this weather lol,General
My friends and I miss this weather lol,General
Election Commission invests in infrastructure project.,True
Supreme Court concludes infrastructure project.,True
My friends and I bought working on a project lol,General
Anyone miss the gym today,General
Urgent warning: WhatsApp CEO will charge money for every message.,Fake
ISRO successfully launches foreign direct investment.,True
Forward to 10 people! Local doctor bans WhatsApp starting tonight.,Fake
Election Commission inaugurates foreign direct investment.,True
Tata Motors announces economic growth data.,True
Leaked document: Secret society bans WhatsApp starting tonight.,Fake
Election Commission passes new bill on economic growth data.,True
My friends and I had a great coffee tbh,General
Urgent warning: RBI declares lockdown from tomorrow.,Fake
My friends and I hate this weather lol,General
Sensex reports election dates for assembly.,True
BCCI sources claim: WHO declares lockdown from tomorrow.,Fake
Hi guys what's up.,General
So had the weekend tbh,General
DRDO declares new space mission.,True
Anyone am thinking about working on a project :),General
My friends and I am thinking about this weather tbh,General
Nifty 50 concludes green energy initiative.,True
BCCI sources claim: UNESCO declares lockdown from tomorrow.,Fake
So went to dinner at a restaurant :),General
I watched this weather,General
I watched the weekend anyone?,General
So had the gym today,General
I went to the weekend!,General
My friends and I hate dinner at a restaurant...,General
Breaking News: UNESCO declares lockdown from tomorrow.,Fake
Hello world this is a test post.,General
BCCI sources claim: RBI will charge money for every message.,Fake
Breaking News: RBI will charge money for every message.,Fake
Forward to 10 people! Local doctor will charge money for every message.,Fake
Who else watched the weekend!,General
Leaked document: Secret society finds cure for all viruses using lemon water.,Fake
Election Commission invests in infrastructure project.,True
Tata Motors invests in quarterly monetary policy.,True
BCCI sources claim: Secret society bans WhatsApp starting tonight.,Fake
Just had this weather :),General
Who else bought a great coffee,General
Who else watched the weekend lol,General
